,Faixa do rendimento mensal domiciliar per capita ,Para acessar a Internet utiliza-se microcomputador,Para acessar a Internet utiliza-se telefone celular,Rendimento mensal domiciliar per capita ,Tem telefone movel celular,Total de moradores de 10 anos ou mais
331,,,,,,
332,,,,,,
333,5.0,2.0,2.0,1950.0,2.0,2.0
334,,,,,,
335,3.0,,,400.0,2.0,2.0
336,4.0,,,1500.0,2.0,2.0
337,2.0,,,394.0,2.0,2.0
338,3.0,,,788.0,2.0,1.0
339,99.0,2.0,2.0,999999999999.0,2.0,1.0
340,,,,,,
341,5.0,4.0,2.0,2197.0,2.0,3.0
342,4.0,2.0,2.0,800.0,2.0,2.0
343,4.0,2.0,2.0,829.0,2.0,3.0
344,,,,,,
345,1.0,2.0,4.0,133.0,2.0,2.0
346,3.0,,,788.0,2.0,2.0
347,2.0,4.0,2.0,331.0,2.0,1.0
348,2.0,,,394.0,2.0,2.0
349,3.0,2.0,2.0,400.0,2.0,3.0
350,5.0,2.0,2.0,2110.0,2.0,2.0
351,3.0,,,404.0,2.0,2.0
352,3.0,,,788.0,4.0,1.0
353,4.0,,,1050.0,2.0,2.0
354,5.0,,,1650.0,2.0,2.0
355,6.0,2.0,2.0,3125.0,2.0,3.0
356,4.0,2.0,2.0,922.0,2.0,4.0
357,5.0,2.0,2.0,1666.0,2.0,4.0
358,3.0,,,661.0,2.0,3.0
359,,,,,,
360,,,,,,
361,4.0,,,1288.0,2.0,2.0
362,,,,,,
363,4.0,,,996.0,2.0,2.0
364,3.0,,,766.0,2.0,3.0
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,3.0,,,788.0,2.0,2.0
370,,,,,,
371,3.0,,,788.0,2.0,1.0
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,2.0,,,210.0,4.0,2.0
377,,,,,,
378,1.0,,,142.0,4.0,2.0
379,4.0,,,801.0,4.0,4.0
380,4.0,,,1576.0,2.0,1.0
381,3.0,,,500.0,2.0,2.0
382,2.0,,,259.0,2.0,3.0
383,,,,,,
384,1.0,,,90.0,2.0,3.0
385,2.0,,,300.0,2.0,2.0
386,3.0,,,450.0,4.0,2.0
387,3.0,,,688.0,2.0,1.0
388,2.0,,,265.0,2.0,3.0
389,4.0,,,1000.0,4.0,1.0
390,,,,,,
391,,,,,,
392,5.0,4.0,2.0,2096.0,2.0,3.0
393,,,,,,
394,,,,,,
395,,,,,,
396,7.0,2.0,2.0,5000.0,2.0,2.0
397,,,,,,
398,,,,,,
399,,,,,,
400,3.0,,,532.0,2.0,2.0
401,5.0,2.0,4.0,2075.0,2.0,3.0
402,6.0,,,2700.0,2.0,2.0
403,4.0,2.0,2.0,1500.0,2.0,2.0
404,4.0,,,850.0,2.0,1.0
405,4.0,,,853.0,2.0,3.0
406,5.0,2.0,2.0,1737.0,2.0,2.0
407,4.0,,,1538.0,2.0,2.0
408,3.0,,,788.0,2.0,2.0
409,4.0,4.0,2.0,966.0,2.0,2.0
410,3.0,,,788.0,4.0,2.0
411,4.0,2.0,4.0,1250.0,2.0,2.0
412,3.0,2.0,2.0,400.0,2.0,3.0
413,4.0,,,1100.0,2.0,2.0
414,3.0,,,594.0,2.0,2.0
415,3.0,,,788.0,2.0,3.0
416,,,,,,
417,,,,,,
418,,,,,,
419,3.0,4.0,2.0,600.0,2.0,3.0
420,4.0,,,1576.0,2.0,1.0
421,7.0,2.0,2.0,4666.0,2.0,3.0
422,4.0,2.0,2.0,1100.0,2.0,2.0
423,2.0,,,258.0,2.0,2.0
424,99.0,,,999999999999.0,2.0,2.0
425,,,,,,
426,1.0,,,141.0,2.0,7.0
427,6.0,2.0,2.0,2466.0,2.0,3.0
428,,,,,,
429,1.0,,,186.0,2.0,4.0
430,3.0,,,545.0,2.0,3.0
431,4.0,,,1288.0,2.0,2.0
432,4.0,,,1366.0,2.0,3.0
433,4.0,,,1500.0,2.0,1.0
434,4.0,,,1175.0,2.0,3.0
435,4.0,,,1070.0,2.0,1.0
436,5.0,,,1788.0,2.0,1.0
437,7.0,,,5394.0,2.0,2.0
438,,,,,,
439,4.0,,,900.0,2.0,2.0
440,3.0,2.0,2.0,575.0,2.0,4.0
441,5.0,,,1596.0,2.0,3.0
442,4.0,4.0,2.0,933.0,2.0,3.0
443,4.0,,,1075.0,2.0,3.0
444,2.0,2.0,2.0,325.0,2.0,1.0
445,4.0,2.0,2.0,1233.0,2.0,3.0
446,4.0,4.0,2.0,1075.0,2.0,2.0
447,3.0,,,517.0,2.0,1.0
448,,,,,,
449,1.0,,,46.0,2.0,2.0
450,3.0,,,665.0,2.0,2.0
451,,,,,,
452,3.0,,,583.0,2.0,3.0
453,99.0,2.0,2.0,999999999999.0,2.0,1.0
454,4.0,,,1500.0,2.0,2.0
455,4.0,2.0,4.0,1144.0,2.0,2.0
456,3.0,4.0,2.0,494.0,2.0,3.0
457,4.0,4.0,2.0,833.0,2.0,3.0
458,4.0,4.0,2.0,1088.0,2.0,1.0
459,4.0,,,841.0,2.0,4.0
460,4.0,,,1182.0,2.0,2.0
461,3.0,4.0,2.0,455.0,2.0,5.0
462,6.0,,,2500.0,2.0,1.0
463,2.0,,,394.0,2.0,2.0
464,4.0,,,894.0,4.0,2.0
465,3.0,,,396.0,2.0,3.0
466,2.0,4.0,2.0,340.0,2.0,2.0
467,,,,,,
468,3.0,,,551.0,2.0,3.0
469,5.0,4.0,2.0,1920.0,2.0,1.0
470,3.0,,,500.0,2.0,3.0
471,3.0,,,788.0,2.0,1.0
472,3.0,,,412.0,2.0,3.0
473,4.0,,,894.0,2.0,2.0
474,4.0,,,1233.0,2.0,3.0
475,3.0,,,591.0,2.0,3.0
476,2.0,,,394.0,2.0,3.0
477,5.0,,,1994.0,2.0,2.0
478,3.0,2.0,4.0,553.0,2.0,3.0
479,,,,,,
480,2.0,2.0,2.0,327.0,2.0,3.0
481,3.0,,,725.0,2.0,3.0
482,3.0,,,788.0,2.0,1.0
483,4.0,,,1167.0,2.0,4.0
484,4.0,2.0,2.0,1194.0,2.0,4.0
485,2.0,,,245.0,2.0,2.0
486,3.0,4.0,2.0,679.0,2.0,3.0
487,3.0,,,755.0,2.0,3.0
488,3.0,4.0,2.0,476.0,2.0,2.0
489,5.0,2.0,4.0,2364.0,2.0,2.0
490,4.0,,,1344.0,2.0,2.0
491,4.0,4.0,2.0,966.0,2.0,6.0
492,,,,,,
493,3.0,2.0,4.0,578.0,2.0,2.0
494,5.0,,,2219.0,4.0,2.0
495,4.0,,,1213.0,4.0,2.0
496,4.0,,,1012.0,2.0,4.0
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,4.0,,,866.0,4.0,4.0
502,3.0,,,678.0,2.0,2.0
503,,,,,,
504,,,,,,
505,4.0,4.0,2.0,800.0,2.0,3.0
506,2.0,,,233.0,2.0,2.0
507,1.0,,,186.0,4.0,3.0
508,2.0,,,262.0,2.0,3.0
509,,,,,,
510,3.0,,,597.0,2.0,3.0
511,4.0,,,1400.0,4.0,1.0
512,4.0,,,1360.0,2.0,2.0
513,3.0,,,788.0,2.0,2.0
514,3.0,,,788.0,2.0,2.0
515,2.0,,,205.0,4.0,4.0
516,3.0,,,788.0,2.0,2.0
517,2.0,,,254.0,4.0,2.0
518,3.0,,,525.0,2.0,2.0
519,3.0,,,454.0,4.0,2.0
520,3.0,,,788.0,2.0,2.0
521,3.0,,,529.0,2.0,3.0
522,2.0,,,351.0,2.0,2.0
523,,,,,,
524,2.0,,,325.0,2.0,3.0
525,2.0,2.0,2.0,394.0,2.0,3.0
526,1.0,,,145.0,2.0,3.0
527,4.0,,,925.0,2.0,3.0
528,4.0,,,1500.0,2.0,1.0
529,2.0,,,221.0,2.0,6.0
530,1.0,,,80.0,2.0,3.0
531,2.0,,,296.0,2.0,5.0
532,2.0,,,226.0,2.0,4.0
533,4.0,,,833.0,2.0,2.0
534,3.0,,,406.0,2.0,4.0
535,3.0,2.0,2.0,762.0,2.0,3.0
536,2.0,2.0,4.0,316.0,2.0,5.0
537,3.0,,,685.0,2.0,5.0
538,4.0,2.0,4.0,1500.0,2.0,2.0
539,,,,,,
540,3.0,2.0,2.0,535.0,2.0,4.0
541,,,,,,
542,3.0,,,507.0,2.0,3.0
543,,,,,,
544,,,,,,
545,3.0,,,411.0,2.0,5.0
546,2.0,,,250.0,2.0,2.0
547,,,,,,
548,4.0,,,1250.0,2.0,2.0
549,3.0,,,770.0,2.0,2.0
550,3.0,2.0,2.0,529.0,2.0,3.0
551,3.0,,,700.0,2.0,1.0
552,2.0,2.0,2.0,300.0,2.0,3.0
553,3.0,,,788.0,2.0,2.0
554,1.0,,,197.0,2.0,3.0
555,3.0,,,525.0,2.0,3.0
556,3.0,,,400.0,2.0,1.0
557,1.0,,,112.0,2.0,5.0
558,3.0,,,788.0,4.0,1.0
559,3.0,,,536.0,2.0,7.0
560,5.0,,,2333.0,2.0,2.0
561,3.0,2.0,2.0,600.0,2.0,5.0
562,3.0,,,476.0,2.0,2.0
563,,,,,,
564,1.0,,,163.0,2.0,5.0
565,,,,,,
566,,,,,,
567,2.0,4.0,2.0,388.0,2.0,4.0
568,2.0,,,394.0,4.0,2.0
569,4.0,,,1200.0,2.0,1.0
570,3.0,,,666.0,2.0,3.0
571,2.0,,,217.0,2.0,2.0
572,5.0,,,1600.0,2.0,1.0
573,2.0,,,333.0,2.0,4.0
574,4.0,,,796.0,2.0,3.0
575,4.0,,,1538.0,2.0,2.0
576,4.0,,,1188.0,4.0,1.0
577,2.0,,,264.0,2.0,4.0
578,,,,,,
579,,,,,,
580,,,,,,
581,5.0,,,1988.0,2.0,2.0
582,,,,,,
583,3.0,,,788.0,2.0,3.0
584,2.0,,,394.0,4.0,2.0
585,2.0,,,360.0,2.0,2.0
586,4.0,,,800.0,2.0,1.0
587,3.0,,,770.0,2.0,1.0
588,3.0,,,788.0,2.0,2.0
589,2.0,2.0,4.0,366.0,2.0,2.0
590,6.0,,,2500.0,2.0,1.0
591,5.0,,,1734.0,2.0,1.0
592,99.0,2.0,4.0,999999999999.0,2.0,3.0
593,,,,,,
594,4.0,4.0,2.0,983.0,2.0,3.0
595,,,,,,
596,4.0,2.0,2.0,1560.0,2.0,2.0
597,,,,,,
598,5.0,2.0,2.0,1894.0,2.0,2.0
599,,,,,,
600,5.0,2.0,2.0,1850.0,2.0,3.0
601,5.0,2.0,2.0,2125.0,2.0,4.0
602,,,,,,
603,4.0,2.0,2.0,1125.0,2.0,4.0
604,4.0,,,1576.0,4.0,1.0
605,4.0,,,800.0,2.0,1.0
606,4.0,,,794.0,2.0,2.0
607,4.0,,,938.0,2.0,2.0
608,4.0,4.0,2.0,1175.0,2.0,2.0
609,2.0,,,320.0,2.0,2.0
610,4.0,,,1338.0,2.0,2.0
611,2.0,4.0,2.0,200.0,2.0,1.0
612,4.0,4.0,2.0,916.0,2.0,2.0
613,2.0,4.0,2.0,373.0,2.0,2.0
614,3.0,4.0,2.0,497.0,2.0,4.0
615,2.0,,,340.0,2.0,3.0
616,3.0,,,788.0,2.0,1.0
